,key,mutation score
0,while__0__GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM_1,0.19999999999999996
1,if__0__SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS_1,0.9
2,for__2__FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,0.9
3,for__0__FIND_SUBARRAY_WITH_GIVEN_SUM_1,0.8
4,if__0__PRIME_NUMBERS,0.8
5,for__0__DECIMAL_REPRESENTATION_GIVEN_BINARY_STRING_DIVISIBLE_10_NOT,0.19999999999999996
6,for__0__K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY_1,0.4
7,if__0__CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,1.0
8,if__0__NUMBER_JUMP_REQUIRED_GIVEN_LENGTH_REACH_POINT_FORM_D_0_ORIGIN_2D_PLANE,0.4
9,for__0__K_TH_PRIME_FACTOR_GIVEN_NUMBER,0.19999999999999996
10,while__0__DECIMAL_BINARY_CONVERSION_WITHOUT_USING_ARITHMETIC_OPERATORS,1.0
11,while__0__COUNT_PAIRS_DIFFERENCE_EQUAL_K_1,1.0
12,for__0__SUM_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING,1.0
13,if__2__TRIANGULAR_NUMBERS_1,0.0
14,for__0__PROGRAM_PRINT_IDENTITY_MATRIX_1,0.7272727272727273
15,for__0__BREAK_NUMBER_THREE_PARTS,1.0
16,if__0__ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,1.0
17,while__0__PROGRAM_BINARY_DECIMAL_CONVERSION,1.0
18,for__0__POSSIBLE_FORM_TRIANGLE_ARRAY_VALUES,1.0
19,if__0__CHECK_IF_STRING_REMAINS_PALINDROME_AFTER_REMOVING_GIVEN_NUMBER_OF_CHARACTERS,0.4
20,while__0__GNOME_SORT_A_STUPID_ONE,1.0
21,for__0__MAXIMUM_VALUE_CHOICE_EITHER_DIVIDING_CONSIDERING,1.0
22,while__0__WRITE_A_C_PROGRAM_TO_FIND_THE_PARITY_OF_AN_UNSIGNED_INTEGER,0.5
23,for__0__STRING_CONTAINING_FIRST_LETTER_EVERY_WORD_GIVEN_STRING_SPACES,1.0
24,if__1__MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED,1.0
25,for__2__SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD,0.9
26,for__2__MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.4
27,for__2__LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,1.0
28,if__0__LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,1.0
29,for__0__HIGHWAY_BILLBOARD_PROBLEM,0.0
30,for__1__FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH_1,0.30000000000000004
31,for__1__INTEGER_POSITIVE_VALUE_POSITIVE_NEGATIVE_VALUE_ARRAY,1.0
32,if__0__FIND_LARGEST_D_IN_ARRAY_SUCH_THAT_A_B_C_D,0.8
33,for__0__COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY,0.6
34,while__0__SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS,1.0
35,for__0__SUBSEQUENCES_SIZE_THREE_ARRAY_WHOSE_SUM_DIVISIBLE_M_1,0.8
36,for__0__NUMBER_SUBSEQUENCES_FORM_AI_BJ_CK,0.4
37,for__0__LARGEST_SUBSEQUENCE_GCD_GREATER_1,0.7
38,if__0__LENGTH_OF_THE_LONGEST_ARITHMATIC_PROGRESSION_IN_A_SORTED_ARRAY,0.7
39,if__0__FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,0.09999999999999998
40,for__0__SEARCH_INSERT_AND_DELETE_IN_AN_UNSORTED_ARRAY,0.4
41,for__0__PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,0.8
42,while__0__FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME,1.0
43,if__0__FREQUENT_ELEMENT_ARRAY,0.5
44,for__0__MAXIMUM_CONSECUTIVE_NUMBERS_PRESENT_ARRAY,1.0
45,for__1__NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,1.0
46,if__0__COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,0.8
47,for__0__HORNERS_METHOD_POLYNOMIAL_EVALUATION,1.0
48,if__0__MULTIPLY_LARGE_NUMBERS_REPRESENTED_AS_STRINGS,1.0
49,for__0__FIND_THE_ELEMENT_THAT_APPEARS_ONCE,1.0
50,if__0__MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS_2,1.0
51,for__1__MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.4
52,while__0__CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,0.6
53,while__0__LOWER_INSERTION_POINT,0.09999999999999998
54,for__1__LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,0.0
55,for__1__COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY_1,0.5
56,for__0__REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,1.0
57,for__0__NON_REPEATING_ELEMENT,0.7
58,for__1__MAXIMUM_SUM_IARRI_AMONG_ROTATIONS_GIVEN_ARRAY_1,1.0
59,for__0__COUNT_TRAILING_ZEROES_FACTORIAL_NUMBER,0.9
60,if__0__MINIMIZE_THE_MAXIMUM_DIFFERENCE_BETWEEN_THE_HEIGHTS,0.4
61,if__0__CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,0.09999999999999998
62,for__1__COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X_1,1.0
63,while__0__NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,1.0
64,for__1__STRING_K_DISTINCT_CHARACTERS_NO_CHARACTERS_ADJACENT,1.0
65,for__0__PROGRAM_TO_CHECK_IF_A_MATRIX_IS_SYMMETRIC,0.8181818181818181
66,for__0__FORM_MINIMUM_NUMBER_FROM_GIVEN_SEQUENCE_1,1.0
67,for__0__CHECK_GIVEN_MATRIX_SPARSE_NOT,0.5
68,if__0__LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S,0.0
69,for__0__COUNT_NUMBER_WAYS_TILE_FLOOR_SIZE_N_X_M_USING_1_X_M_SIZE_TILES,1.0
70,for__2__MAXIMUM_SUM_BITONIC_SUBARRAY,0.9
71,for__1__SUBSEQUENCES_SIZE_THREE_ARRAY_WHOSE_SUM_DIVISIBLE_M_1,0.8
72,while__0__GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,0.09999999999999998
73,if__0__WRITE_YOU_OWN_POWER_WITHOUT_USING_MULTIPLICATION_AND_DIVISION,1.0
74,if__1__CHECK_GIVEN_SENTENCE_GIVEN_SET_SIMPLE_GRAMMER_RULES,0.4
75,if__0__FIND_TRIPLETS_ARRAY_WHOSE_SUM_EQUAL_ZERO_1,0.0
76,for__0__COUNT_EVEN_LENGTH_BINARY_SEQUENCES_WITH_SAME_SUM_OF_FIRST_AND_SECOND_HALF_BITS_1,1.0
77,while__0__FIND_MINIMUM_NUMBER_DIVIDED_MAKE_NUMBER_PERFECT_SQUARE,0.9
78,for__0__COUNT_OF_PAIRS_SATISFYING_THE_GIVEN_CONDITION,0.0
79,while__0__MODULUS_TWO_FLOAT_DOUBLE_NUMBERS,0.5
80,for__0__COUNT_NUMBER_OF_OCCURRENCES_OR_FREQUENCY_IN_A_SORTED_ARRAY,0.7
81,for__0__COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,1.0
82,if__1__FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,0.09999999999999998
83,for__0__MAXIMUM_SUM_IARRI_AMONG_ROTATIONS_GIVEN_ARRAY_1,0.9
84,if__0__FIND_MINIMUM_NUMBER_DIVIDED_MAKE_NUMBER_PERFECT_SQUARE,0.30000000000000004
85,for__0__SUM_OF_ALL_ELEMENTS_UP_TO_NTH_ROW_IN_A_PASCALS_TRIANGLE,1.0
86,while__0__ALTERNATIVE_SORTING,0.0
87,for__0__COUNT_NUMBER_OF_STRINGS_MADE_OF_R_G_AND_B_USING_GIVEN_COMBINATION,0.09999999999999998
88,for__0__QUERIES_COUNTS_ARRAY_ELEMENTS_VALUES_GIVEN_RANGE,0.09999999999999998
89,for__0__SUM_MATRIX_ELEMENT_ELEMENT_INTEGER_DIVISION_ROW_COLUMN,1.0
90,if__1__MULTIPLY_LARGE_NUMBERS_REPRESENTED_AS_STRINGS,1.0
91,for__0__TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS_1,1.0
92,if__1__DECIMAL_REPRESENTATION_GIVEN_BINARY_STRING_DIVISIBLE_10_NOT,0.5
93,for__0__SUM_MIDDLE_ROW_COLUMN_MATRIX,0.0
94,for__1__MAXIMUM_CONSECUTIVE_NUMBERS_PRESENT_ARRAY,1.0
95,for__0__FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH_1,0.0
96,if__0__SUM_FIBONACCI_NUMBERS,1.0
97,for__0__DISTRIBUTING_ITEMS_PERSON_CANNOT_TAKE_TWO_ITEMS_TYPE,0.19999999999999996
98,if__1__FIND_SUM_EVEN_FACTORS_NUMBER,1.0
99,while__0__POLICEMEN_CATCH_THIEVES,1.0
100,if__0__FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,0.9
101,if__1__LEXICOGRAPHICALLY_NEXT_STRING,1.0
102,for__0__MINIMUM_ROTATIONS_REQUIRED_GET_STRING,0.09999999999999998
103,if__1__CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,0.6
104,if__2__SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY,1.0
105,for__0__FIND_PERMUTED_ROWS_GIVEN_ROW_MATRIX,0.0
106,if__0__WAYS_REMOVE_ONE_ELEMENT_BINARY_STRING_XOR_BECOMES_ZERO,1.0
107,if__1__LONGEST_COMMON_SUBSEQUENCE_WITH_AT_MOST_K_CHANGES_ALLOWED,0.0
108,while__0__K_TH_PRIME_FACTOR_GIVEN_NUMBER,0.4
109,if__0__PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_1,0.0
110,if__0__MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,1.0
111,if__1__CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,0.6
112,for__0__COUNT_OFDIFFERENT_WAYS_EXPRESS_N_SUM_1_3_4,1.0
113,for__0__MAXIMUM_NUMBER_CHARACTERS_TWO_CHARACTER_STRING,0.30000000000000004
114,if__0__MODULUS_TWO_FLOAT_DOUBLE_NUMBERS,0.19999999999999996
115,for__1__K_SMALLEST_ELEMENTS_ORDER_USING_O1_EXTRA_SPACE,0.19999999999999996
116,for__0__FRIENDS_PAIRING_PROBLEM,1.0
117,while__0__POSITIVE_ELEMENTS_EVEN_NEGATIVE_ODD_POSITIONS,0.30000000000000004
118,if__0__FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,0.0
119,for__0__COUNT_INDEX_PAIRS_EQUAL_ELEMENTS_ARRAY_1,0.6
120,for__0__COMPUTE_N_UNDER_MODULO_P,0.4
121,for__0__HARDY_RAMANUJAN_THEOREM,0.30000000000000004
122,for__0__PROGRAM_CHECK_ARRAY_SORTED_NOT_ITERATIVE_RECURSIVE_1,0.5
123,for__0__REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM,1.0
124,for__0__SPLIT_ARRAY_ADD_FIRST_PART_END,0.7
125,for__0__ROW_WISE_COMMON_ELEMENTS_TWO_DIAGONALS_SQUARE_MATRIX,0.4
126,if__1__FIND_MINIMUM_NUMBER_DIVIDED_MAKE_NUMBER_PERFECT_SQUARE,0.9
127,for__1__FIND_PAIRS_GIVEN_SUM_ELEMENTS_PAIR_DIFFERENT_ROWS,0.5
128,for__0__MAXIMIZE_SUM_ARRII,0.9
129,while__0__NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,1.0
130,while__1__PROGRAM_CHECK_PLUS_PERFECT_NUMBER,0.19999999999999996
131,if__0__FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT,0.0
132,for__1__FIND_PERMUTED_ROWS_GIVEN_ROW_MATRIX,0.0
133,if__2__MULTIPLY_TWO_NUMBERS_WITHOUT_USING_MULTIPLY_DIVISION_BITWISE_OPERATORS_AND_NO_LOOPS,1.0
134,while__0__PROGRAM_CHECK_PLUS_PERFECT_NUMBER,0.19999999999999996
135,for__0__COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X_1,0.19999999999999996
136,while__0__FAST_MULTIPLICATION_METHOD_WITHOUT_USING_MULTIPLICATION_OPERATOR_RUSSIAN_PEASANTS_ALGORITHM,1.0
137,for__0__NTH_EVEN_LENGTH_PALINDROME,1.0
138,for__0__MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,1.0
139,for__1__COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,1.0
140,for__1__CHANGE_ARRAY_PERMUTATION_NUMBERS_1_N,0.9
141,for__0__FREQUENT_ELEMENT_ARRAY,0.5
142,for__0__SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,0.4
143,for__0__COUNT_NEGATIVE_NUMBERS_IN_A_COLUMN_WISE_ROW_WISE_SORTED_MATRIX,1.0
144,for__0__SQUARE_PYRAMIDAL_NUMBER_SUM_SQUARES,0.6
145,for__1__PRINT_MAXIMUM_SHORTEST_DISTANCE,1.0
146,for__0__SEGREGATE_EVEN_ODD_NUMBERS_SET_3,0.0
147,while__0__CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,0.4
148,for__0__C_PROGRAM_CONCATENATE_STRING_GIVEN_NUMBER_TIMES,1.0
149,for__1__K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY_1,0.4
150,for__0__SUM_MANHATTAN_DISTANCES_PAIRS_POINTS,0.9
151,for__0__FIND_FIRST_NATURAL_NUMBER_WHOSE_FACTORIAL_DIVISIBLE_X,1.0
152,while__0__ODD_EVEN_SORT_BRICK_SORT,0.5
153,if__0__CHECK_EXIST_TWO_ELEMENTS_ARRAY_WHOSE_SUM_EQUAL_SUM_REST_ARRAY,0.6
154,for__0__MINIMUM_XOR_VALUE_PAIR,0.8
155,for__1__SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD,0.0
156,while__0__COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X_2,0.30000000000000004
157,for__0__CHECK_NUMBER_IS_PERFECT_SQUARE_USING_ADDITIONSUBTRACTION,0.6
158,if__0__FORM_MINIMUM_NUMBER_FROM_GIVEN_SEQUENCE_1,1.0
159,for__0__CHECK_WHETHER_ARITHMETIC_PROGRESSION_CAN_FORMED_GIVEN_ARRAY,0.6
160,if__0__CHECK_GIVEN_STRING_CAN_SPLIT_FOUR_DISTINCT_STRINGS,0.4
161,while__0__COUNT_NUMBERS_THAT_DONT_CONTAIN_3,1.0
162,for__0__MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,0.8
163,while__0__PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_2,0.6
164,for__1__MINIMUM_STEPS_MINIMIZE_N_PER_GIVEN_CONDITION,1.0
165,for__0__NUMBER_NON_NEGATIVE_INTEGRAL_SOLUTIONS_B_C_N,1.0
166,if__3__LONGEST_COMMON_SUBSEQUENCE_WITH_AT_MOST_K_CHANGES_ALLOWED,0.0
167,for__0__MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED,0.6
168,for__1__CHECK_EXIST_TWO_ELEMENTS_ARRAY_WHOSE_SUM_EQUAL_SUM_REST_ARRAY,0.6
169,for__0__SUM_FIBONACCI_NUMBERS,1.0
170,if__0__FIND_UNIT_DIGIT_X_RAISED_POWER_Y_1,1.0
171,if__0__PAIR_WITH_GIVEN_PRODUCT_SET_1_FIND_IF_ANY_PAIR_EXISTS_1,0.09999999999999998
172,if__0__FIND_TRIPLETS_ARRAY_WHOSE_SUM_EQUAL_ZERO,0.0
173,if__1__SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD,1.0
174,for__0__GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,0.09999999999999998
175,while__0__LEXICOGRAPHICALLY_NEXT_STRING,1.0
176,for__0__ANALYSIS_OF_ALGORITHMS_SET_2_ASYMPTOTIC_ANALYSIS,0.4
177,if__0__LEXICOGRAPHICALLY_NEXT_STRING,0.5
178,for__0__POSITION_ELEMENT_STABLE_SORT,1.0
179,for__0__EULERS_CRITERION_CHECK_IF_SQUARE_ROOT_UNDER_MODULO_P_EXISTS,0.30000000000000004
180,if__0__MINIMIZE_THE_SUM_OF_DIGITS_OF_A_AND_B_SUCH_THAT_A_B_N,1.0
181,for__0__WRITE_YOU_OWN_POWER_WITHOUT_USING_MULTIPLICATION_AND_DIVISION,1.0
182,for__1__LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,0.9
183,for__0__K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,0.4
184,for__0__FIND_PAIR_WITH_GREATEST_PRODUCT_IN_ARRAY,0.6
185,for__1__SQUARES_OF_MATRIX_DIAGONAL_ELEMENTS,0.0
186,for__0__FIND_SUM_NON_REPEATING_DISTINCT_ELEMENTS_ARRAY,1.0
187,for__0__FIND_MAXIMUM_HEIGHT_PYRAMID_FROM_THE_GIVEN_ARRAY_OF_OBJECTS,1.0
188,if__1__HARDY_RAMANUJAN_THEOREM,1.0
189,for__0__MULTIPLY_LARGE_NUMBERS_REPRESENTED_AS_STRINGS,1.0
190,if__0__COMPUTE_N_UNDER_MODULO_P,1.0
191,if__2__NUMBER_JUMP_REQUIRED_GIVEN_LENGTH_REACH_POINT_FORM_D_0_ORIGIN_2D_PLANE,0.4
192,for__0__PAIR_WITH_GIVEN_PRODUCT_SET_1_FIND_IF_ANY_PAIR_EXISTS_1,0.09999999999999998
193,if__0__NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,1.0
