,key,computational accuracy
214,CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,1.0
215,NUMBER_JUMP_REQUIRED_GIVEN_LENGTH_REACH_POINT_FORM_D_0_ORIGIN_2D_PLANE,0.6
216,PRINT_GIVEN_MATRIX_COUNTER_CLOCK_WISE_SPIRAL_FORM,1.0
217,HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,1.0
218,POSITION_ELEMENT_STABLE_SORT,1.0
219,COIN_GAME_WINNER_EVERY_PLAYER_THREE_CHOICES,1.0
220,MAXIMUM_PRODUCT_SUBARRAY_ADDED_NEGATIVE_PRODUCT_CASE,0.9
221,WRITE_A_C_PROGRAM_TO_FIND_THE_PARITY_OF_AN_UNSIGNED_INTEGER,0.5
222,MINIMUM_SUM_TWO_NUMBERS_FORMED_DIGITS_ARRAY,1.0
223,COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X_2,1.0
224,SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,0.7
225,INTEGER_POSITIVE_VALUE_POSITIVE_NEGATIVE_VALUE_ARRAY_1,1.0
226,PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR,0.1
227,FIND_FIRST_NATURAL_NUMBER_WHOSE_FACTORIAL_DIVISIBLE_X,1.0
228,COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,0.0
229,MINIMUM_HEIGHT_TRIANGLE_GIVEN_BASE_AREA,1.0
230,LEXICOGRAPHICALLY_MINIMUM_STRING_ROTATION,0.1
231,FIND_SUM_NODES_GIVEN_PERFECT_BINARY_TREE_1,1.0
232,SUM_SEQUENCE_2_22_222,1.0
233,PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_1,1.0
234,COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,0.4
235,BREAK_NUMBER_THREE_PARTS,0.0
236,MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,0.3
237,POSITION_OF_RIGHTMOST_SET_BIT_1,1.0
238,MINIMUM_INSERTIONS_SORT_ARRAY,1.0
239,MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,0.1
240,REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,1.0
241,COUNT_TOTAL_SET_BITS_IN_ALL_NUMBERS_FROM_1_TO_N,0.0
242,CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,1.0
243,MAXIMUM_NUMBER_CHARACTERS_TWO_CHARACTER_STRING,1.0
244,SQUARES_OF_MATRIX_DIAGONAL_ELEMENTS,1.0
245,COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,0.3
246,MINIMIZE_THE_MAXIMUM_DIFFERENCE_BETWEEN_THE_HEIGHTS,1.0
247,NEXT_POWER_OF_2_2,1.0
248,FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,1.0
249,NUMBER_RECTANGLES_NM_GRID,1.0
250,SQUARE_PYRAMIDAL_NUMBER_SUM_SQUARES,0.9
251,FIND_REPETITIVE_ELEMENT_1_N_1_2,1.0
252,FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,1.0
253,K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,0.6
254,NON_REPEATING_ELEMENT,0.0
255,PROGRAM_TO_FIND_THE_VOLUME_OF_A_TRIANGULAR_PRISM,1.0
256,PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,1.0
257,CHECK_GIVEN_CIRCLE_LIES_COMPLETELY_INSIDE_RING_FORMED_TWO_CONCENTRIC_CIRCLES,1.0
258,ADD_1_TO_A_GIVEN_NUMBER_1,1.0
259,FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,0.0
260,SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS_1,0.1
261,MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS_2,0.4
262,FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS,1.0
263,CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,1.0
264,MAXIMIZE_SUM_ARRII,1.0
265,COUNT_NUMBER_OF_OCCURRENCES_OR_FREQUENCY_IN_A_SORTED_ARRAY,1.0
266,LENGTH_LONGEST_SUB_STRING_CAN_MAKE_REMOVED,1.0
267,FIND_PAIR_WITH_GREATEST_PRODUCT_IN_ARRAY,1.0
268,PROGRAM_AREA_SQUARE,1.0
269,FINDING_POWER_PRIME_NUMBER_P_N_1,1.0
270,PROGRAM_FIND_SMALLEST_DIFFERENCE_ANGLES_TWO_PARTS_GIVEN_CIRCLE,1.0
0,PROGRAM_BINARY_DECIMAL_CONVERSION_1,1.0
1,FIND_TRIPLETS_ARRAY_WHOSE_SUM_EQUAL_ZERO_2,1.0
2,PROGRAM_CALCULATE_VOLUME_OCTAHEDRON,0.0
3,CEILING_IN_A_SORTED_ARRAY,0.9
4,COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,1.0
5,FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_2,1.0
6,SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,1.0
7,CALCULATE_ANGLE_HOUR_HAND_MINUTE_HAND,0.0
8,EVEN_FIBONACCI_NUMBERS_SUM,1.0
9,AREA_OF_THE_CIRCLE_THAT_HAS_A_SQUARE_AND_A_CIRCLE_INSCRIBED_IN_IT,1.0
10,DYNAMIC_PROGRAMMING_SET_36_CUT_A_ROPE_TO_MAXIMIZE_PRODUCT_1,1.0
11,COUNT_NUMBER_OF_WAYS_TO_COVER_A_DISTANCE_1,1.0
12,CHANGE_BITS_CAN_MADE_ONE_FLIP,1.0
13,PRIMALITY_TEST_SET_5USING_LUCAS_LEHMER_SERIES,1.0
14,FUNCTION_COPY_STRING_ITERATIVE_RECURSIVE_1,0.0
15,SMALLEST_POWER_OF_2_GREATER_THAN_OR_EQUAL_TO_N,1.0
16,DYCK_PATH,0.0
17,CEILING_IN_A_SORTED_ARRAY_1,1.0
18,CHECK_WHETHER_TWO_STRINGS_ARE_ANAGRAM_OF_EACH_OTHER,1.0
19,MAXIMIZE_SUM_CONSECUTIVE_DIFFERENCES_CIRCULAR_ARRAY,1.0
20,GOOGLE_CASE_GIVEN_SENTENCE,0.0
21,SUM_PAIRWISE_PRODUCTS,1.0
22,HEIGHT_COMPLETE_BINARY_TREE_HEAP_N_NODES,1.0
23,SUM_BINOMIAL_COEFFICIENTS_1,0.0
24,COUNT_NUMBER_OF_WAYS_TO_FILL_A_N_X_4_GRID_USING_1_X_4_TILES,1.0
25,SUBSET_SUM_DIVISIBLE_M,1.0
26,MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,0.9
27,MAKING_ELEMENTS_OF_TWO_ARRAYS_SAME_WITH_MINIMUM_INCREMENTDECREMENT,1.0
28,PROGRAM_CALCULATE_VOLUME_ELLIPSOID,1.0
29,C_PROGRAM_FACTORIAL_NUMBER_1,1.0
30,COUNT_SUBSTRINGS_WITH_SAME_FIRST_AND_LAST_CHARACTERS,1.0
31,SQUARE_ROOT_OF_AN_INTEGER,0.2
32,FIND_PERIMETER_CYLINDER,1.0
33,REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE,1.0
34,MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,1.0
35,PROGRAM_CIRCUMFERENCE_PARALLELOGRAM,1.0
36,MINIMUM_SUM_SQUARES_CHARACTERS_COUNTS_GIVEN_STRING_REMOVING_K_CHARACTERS,1.0
37,FIRST_UPPERCASE_LETTER_IN_A_STRING_ITERATIVE_AND_RECURSIVE,0.0
38,COUNT_SET_BITS_IN_AN_INTEGER_2,1.0
39,SUM_PAIRWISE_PRODUCTS_2,1.0
40,MAXIMUM_PRODUCT_SUBSET_ARRAY,1.0
41,SORT_ARRAY_TWO_HALVES_SORTED,0.5
42,PYTHAGOREAN_QUADRUPLE,1.0
43,FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES,1.0
44,FIND_INDEX_OF_AN_EXTRA_ELEMENT_PRESENT_IN_ONE_SORTED_ARRAY,1.0
45,HOW_CAN_WE_SUM_THE_DIGITS_OF_A_GIVEN_NUMBER_IN_SINGLE_STATEMENT_2,0.1
46,SMALLEST_SUM_CONTIGUOUS_SUBARRAY,1.0
47,CAESAR_CIPHER,0.0
48,FIND_FREQUENCY_EVEN_ODD_NUMBERS_MATRIX,1.0
49,PROGRAM_WORST_FIT_ALGORITHM_MEMORY_MANAGEMENT,1.0
50,CHECK_IF_X_CAN_GIVE_CHANGE_TO_EVERY_PERSON_IN_THE_QUEUE,1.0
51,N_TH_TERM_SERIES_2_12_36_80_150,1.0
52,HOW_TO_CHECK_IF_A_GIVEN_ARRAY_REPRESENTS_A_BINARY_HEAP_1,1.0
53,MINIMUM_TIME_TO_FINISH_TASKS_WITHOUT_SKIPPING_TWO_CONSECUTIVE,1.0
54,NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,1.0
55,FIND_THE_MISSING_NUMBER_2,0.0
56,DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,1.0
57,DECODE_MEDIAN_STRING_ORIGINAL_STRING,0.0
58,COUNT_PAIRS_DIFFERENCE_EQUAL_K,1.0
59,COUNT_OBTUSE_ANGLES_CIRCLE_K_EQUIDISTANT_POINTS_2_GIVEN_POINTS,1.0
60,FIND_SUM_MODULO_K_FIRST_N_NATURAL_NUMBER,1.0
61,MINIMUM_SUM_TWO_NUMBERS_FORMED_DIGITS_ARRAY_2,1.0
62,REPLACE_OCCURRENCES_STRING_AB_C_WITHOUT_USING_EXTRA_SPACE,0.7
63,REMOVE_CONSECUTIVE_DUPLICATES_STRING,1.0
64,MINIMUM_PRODUCT_SUBSET_ARRAY,1.0
65,TURN_OFF_THE_RIGHTMOST_SET_BIT,1.0
66,POINT_CLIPPING_ALGORITHM_COMPUTER_GRAPHICS,1.0
67,CHECK_LINE_PASSES_ORIGIN,1.0
68,SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,1.0
69,PERFECT_REVERSIBLE_STRING,1.0
70,SUM_MATRIX_ELEMENT_ABSOLUTE_DIFFERENCE_ROW_COLUMN_NUMBERS_1,1.0
71,SUM_DIVISORS_1_N_1,0.0
72,CHECK_VALID_SEQUENCE_DIVISIBLE_M_1,1.0
73,MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,1.0
74,SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,1.0
75,LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,0.0
76,SWAP_BITS_IN_A_GIVEN_NUMBER,1.0
77,ROUND_THE_GIVEN_NUMBER_TO_NEAREST_MULTIPLE_OF_10,0.1
78,SEARCH_AN_ELEMENT_IN_AN_ARRAY_WHERE_DIFFERENCE_BETWEEN_ADJACENT_ELEMENTS_IS_1,1.0
79,DOUBLE_FACTORIAL_1,0.2
80,MINIMUM_COST_FOR_ACQUIRING_ALL_COINS_WITH_K_EXTRA_COINS_ALLOWED_WITH_EVERY_COIN,1.0
81,THIRD_LARGEST_ELEMENT_ARRAY_DISTINCT_ELEMENTS_1,1.0
82,PROGRAM_TO_FIND_THE_AREA_OF_PENTAGON,0.0
83,FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,1.0
84,FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,1.0
85,SEARCH_IN_ROW_WISE_AND_COLUMN_WISE_SORTED_MATRIX,0.0
86,MAXIMUM_HEIGHT_OF_TRIANGULAR_ARRANGEMENT_OF_ARRAY_VALUES,1.0
87,SUM_SUBSETS_SET_FORMED_FIRST_N_NATURAL_NUMBERS,1.0
88,CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,1.0
89,PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_1,1.0
90,SUM_MATRIX_ELEMENT_ABSOLUTE_DIFFERENCE_ROW_COLUMN_NUMBERS_2,1.0
91,TRIANGULAR_NUMBERS,1.0
92,COUNT_NUMBER_OF_SOLUTIONS_OF_X2_1_MOD_P_IN_GIVEN_RANGE,0.0
93,PYTHON_PROGRAM_FIND_PERIMETER_CIRCUMFERENCE_SQUARE_RECTANGLE_1,1.0
94,HEXAGONAL_NUMBER,0.0
95,PAINTING_FENCE_ALGORITHM,1.0
96,SUBSEQUENCES_SIZE_THREE_ARRAY_WHOSE_SUM_DIVISIBLE_M,1.0
97,CHECK_INTEGER_OVERFLOW_MULTIPLICATION,0.8
98,COUNT_DIGITS_FACTORIAL_SET_1,1.0
99,MULTIPLY_AN_INTEGER_WITH_3_5,1.0
100,COUNT_FREQUENCY_K_MATRIX_SIZE_N_MATRIXI_J_IJ,1.0
101,MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,1.0
102,ELEMENTS_TO_BE_ADDED_SO_THAT_ALL_ELEMENTS_OF_A_RANGE_ARE_PRESENT_IN_ARRAY_1,0.0
103,PIZZA_CUT_PROBLEM_CIRCLE_DIVISION_LINES,1.0
104,MINIMUM_NUMBER_PLATFORMS_REQUIRED_RAILWAYBUS_STATION,0.6
105,COUNT_INDEX_PAIRS_EQUAL_ELEMENTS_ARRAY,1.0
106,MINIMIZE_SUM_PRODUCT_TWO_ARRAYS_PERMUTATIONS_ALLOWED,1.0
107,ADD_1_TO_A_GIVEN_NUMBER,1.0
108,MAXIMUM_DIFFERENCE_SUM_ELEMENTS_TWO_ROWS_MATRIX,1.0
109,COUNT_FACTORIAL_NUMBERS_IN_A_GIVEN_RANGE,1.0
110,MAXIMUM_SUM_IARRI_AMONG_ROTATIONS_GIVEN_ARRAY,1.0
111,PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_1,1.0
112,FIND_THE_ELEMENT_BEFORE_WHICH_ALL_THE_ELEMENTS_ARE_SMALLER_THAN_IT_AND_AFTER_WHICH_ALL_ARE_GREATER_THAN_IT,1.0
113,CIRCLE_LATTICE_POINTS,1.0
114,CHECK_IF_ALL_THE_ELEMENTS_CAN_BE_MADE_OF_SAME_PARITY_BY_INVERTING_ADJACENT_ELEMENTS,1.0
115,CHECK_SUMS_TH_ROW_TH_COLUMN_MATRIX,1.0
116,FIND_THE_MISSING_NUMBER_1,1.0
117,PROGRAM_CALCULATE_AREA_OCTAGON,1.0
118,COUNT_SUBARRAYS_WITH_SAME_EVEN_AND_ODD_ELEMENTS,1.0
119,COUNT_SORTED_ROWS_MATRIX,0.7
120,NUMBER_N_DIGIT_STEPPING_NUMBERS,0.0
121,TEMPLE_OFFERINGS,0.1
122,DIAGONALLY_DOMINANT_MATRIX,1.0
123,DYNAMIC_PROGRAMMING_SET_14_MAXIMUM_SUM_INCREASING_SUBSEQUENCE,1.0
124,FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,0.7
125,FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY,1.0
126,SPLIT_N_MAXIMUM_COMPOSITE_NUMBERS,1.0
127,SWAP_TWO_NIBBLES_BYTE,1.0
128,CHECK_POSSIBLE_SORT_ARRAY_CONDITIONAL_SWAPPING_ADJACENT_ALLOWED,1.0
129,FIND_INDEX_OF_AN_EXTRA_ELEMENT_PRESENT_IN_ONE_SORTED_ARRAY_1,1.0
130,WRITE_ONE_LINE_C_FUNCTION_TO_FIND_WHETHER_A_NO_IS_POWER_OF_TWO,1.0
131,MAXIMUM_NUMBER_OF_SQUARES_THAT_CAN_BE_FIT_IN_A_RIGHT_ANGLE_ISOSCELES_TRIANGLE,0.0
132,LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,1.0
133,MARKOV_MATRIX,1.0
134,NUMBER_ORDERED_PAIRS_AI_AJ_0,1.0
135,UNIQUE_CELLS_BINARY_MATRIX,0.4
136,MINIMUM_COST_MAKE_ARRAY_SIZE_1_REMOVING_LARGER_PAIRS,1.0
137,PROGRAM_COUNT_OCCURRENCE_GIVEN_CHARACTER_STRING,1.0
138,FIND_REPETITIVE_ELEMENT_1_N_1,0.0
139,BREAK_NUMBER_THREE_PARTS_1,1.0
140,N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,1.0
141,CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,0.0
142,SMALLEST_DIFFERENCE_PAIR_VALUES_TWO_UNSORTED_ARRAYS,1.0
143,COUNT_ARRAYS_CONSECUTIVE_ELEMENT_DIFFERENT_VALUES,0.0
144,MAXIMUM_LENGTH_PREFIX_ONE_STRING_OCCURS_SUBSEQUENCE_ANOTHER,1.0
145,SMALLEST_POWER_OF_2_GREATER_THAN_OR_EQUAL_TO_N_1,1.0
146,FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY,1.0
147,PAIR_WITH_GIVEN_PRODUCT_SET_1_FIND_IF_ANY_PAIR_EXISTS,1.0
148,SUM_OF_ALL_ELEMENTS_UP_TO_NTH_ROW_IN_A_PASCALS_TRIANGLE_1,1.0
149,MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,1.0
150,ADD_TWO_NUMBERS_WITHOUT_USING_ARITHMETIC_OPERATORS,1.0
151,C_PROGRAM_FIND_LARGEST_ELEMENT_ARRAY_1,0.3
152,NUMBER_TRIANGLES_N_MOVES,1.0
153,CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,0.5
154,QUICK_WAY_CHECK_CHARACTERS_STRING,1.0
155,MINIMUM_FLIP_REQUIRED_MAKE_BINARY_MATRIX_SYMMETRIC_1,1.0
156,SUM_SERIES_12_32_52_2N_12,0.0
157,COUNT_STRINGS_CAN_FORMED_USING_B_C_GIVEN_CONSTRAINTS_1,0.0
158,COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X,1.0
