,key,Computational accuracy,Mutation score
0,PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,1.0,0.8
1,PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,1.0,0.8
2,FIND_LARGEST_D_IN_ARRAY_SUCH_THAT_A_B_C_D,0.8,0.8
3,PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_2,1.0,0.6
4,MODULUS_TWO_FLOAT_DOUBLE_NUMBERS,1.0,0.5
5,MODULUS_TWO_FLOAT_DOUBLE_NUMBERS,1.0,0.2
6,NUMBER_SUBSTRINGS_STRING,1.0,
7,MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,1.0,
8,LARGEST_SUM_CONTIGUOUS_SUBARRAY_2,1.0,1.0
9,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.6,0.4
10,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.6,0.4
11,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.6,0.4
12,MOVE_VE_ELEMENTS_END_ORDER_EXTRA_SPACE_ALLOWED,0.6,0.4
13,PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE,0.0,1.0
14,PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE,0.0,1.0
15,PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE,0.0,1.0
16,N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_1,0.0,1.0
17,LEONARDO_NUMBER_1,1.0,1.0
18,EFFICIENT_SEARCH_IN_AN_ARRAY_WHERE_DIFFERENCE_BETWEEN_ADJACENT_IS_1,1.0,0.5
19,COUNT_OFDIFFERENT_WAYS_EXPRESS_N_SUM_1_3_4,0.0,1.0
20,FIND_THE_MAXIMUM_SUBARRAY_XOR_IN_A_GIVEN_ARRAY,1.0,
21,FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,1.0,0.1
22,FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,1.0,0.0
23,NEXT_POWER_OF_2_1,1.0,0.0
24,NEXT_POWER_OF_2_1,1.0,1.0
25,COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,1.0,1.0
26,COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,1.0,1.0
27,LOWER_INSERTION_POINT,1.0,0.1
28,LOWER_INSERTION_POINT,1.0,0.1
29,LOWER_INSERTION_POINT,1.0,0.8
30,MAXIMUM_SUM_2_X_N_GRID_NO_TWO_ELEMENTS_ADJACENT,1.0,
31,SMALLEST_POWER_OF_2_GREATER_THAN_OR_EQUAL_TO_N_2,1.0,
32,MAXIMUM_NUMBER_SEGMENTS_LENGTHS_B_C,0.4,
33,COUNT_NUMBER_WAYS_TILE_FLOOR_SIZE_N_X_M_USING_1_X_M_SIZE_TILES,1.0,1.0
34,COUNT_NUMBER_OF_STRINGS_MADE_OF_R_G_AND_B_USING_GIVEN_COMBINATION,1.0,0.1
35,COUNT_NUMBER_OF_STRINGS_MADE_OF_R_G_AND_B_USING_GIVEN_COMBINATION,1.0,0.1
36,MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS_1,1.0,1.0
37,ODD_EVEN_SORT_BRICK_SORT,0.5,0.5
38,SUM_MANHATTAN_DISTANCES_PAIRS_POINTS,1.0,0.9
39,GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM_1,0.8,0.2
40,MULTIPLY_LARGE_INTEGERS_UNDER_LARGE_MODULO,1.0,1.0
41,LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,0.0,1.0
42,LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,0.0,1.0
43,DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,0.5,1.0
44,POLICEMEN_CATCH_THIEVES,0.9,1.0
45,CHECK_TWO_GIVEN_CIRCLES_TOUCH_INTERSECT,1.0,1.0
46,SWAP_ALL_ODD_AND_EVEN_BITS,1.0,
47,CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,1.0,0.6
48,REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM,0.0,1.0
49,WRITE_YOU_OWN_POWER_WITHOUT_USING_MULTIPLICATION_AND_DIVISION,1.0,1.0
50,WRITE_YOU_OWN_POWER_WITHOUT_USING_MULTIPLICATION_AND_DIVISION,1.0,1.0
51,FRIENDS_PAIRING_PROBLEM,1.0,1.0
52,DISTRIBUTING_ITEMS_PERSON_CANNOT_TAKE_TWO_ITEMS_TYPE,1.0,0.2
53,COUNT_POSSIBLE_GROUPS_SIZE_2_3_SUM_MULTIPLE_3,1.0,
54,MAXIMUM_HEIGHT_OF_TRIANGULAR_ARRANGEMENT_OF_ARRAY_VALUES_1,1.0,
55,LONGEST_COMMON_SUBSEQUENCE_WITH_AT_MOST_K_CHANGES_ALLOWED,1.0,0.0
56,LONGEST_COMMON_SUBSEQUENCE_WITH_AT_MOST_K_CHANGES_ALLOWED,1.0,0.0
57,LONGEST_COMMON_SUBSEQUENCE_WITH_AT_MOST_K_CHANGES_ALLOWED,1.0,0.0
58,LONGEST_COMMON_SUBSEQUENCE_WITH_AT_MOST_K_CHANGES_ALLOWED,1.0,0.0
59,MAXIMUM_NUMBER_2X2_SQUARES_CAN_FIT_INSIDE_RIGHT_ISOSCELES_TRIANGLE,1.0,
60,CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,1.0,0.6
61,CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,1.0,0.3
62,CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,1.0,0.0
63,GNOME_SORT_A_STUPID_ONE,0.0,1.0
64,FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT,1.0,0.0
65,FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT,1.0,0.9
66,CHECK_GIVEN_MATRIX_SPARSE_NOT,1.0,0.5
67,NTH_PENTAGONAL_NUMBER,1.0,
68,COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,0.1,
69,FREQUENT_ELEMENT_ARRAY,1.0,0.5
70,FREQUENT_ELEMENT_ARRAY,1.0,0.5
71,ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,1.0,1.0
72,ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,1.0,0.2
73,NUMBER_NON_NEGATIVE_INTEGRAL_SOLUTIONS_B_C_N,0.0,1.0
74,NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,0.0,1.0
75,NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,0.0,1.0
76,FIND_SUM_MODULO_K_FIRST_N_NATURAL_NUMBER_1,0.7,
77,MEDIAN_OF_TWO_SORTED_ARRAYS,0.2,1.0
78,COUNT_PAIRS_DIFFERENCE_EQUAL_K_1,1.0,1.0
79,FAST_MULTIPLICATION_METHOD_WITHOUT_USING_MULTIPLICATION_OPERATOR_RUSSIAN_PEASANTS_ALGORITHM,1.0,1.0
80,PROGRAM_PRINT_IDENTITY_MATRIX_1,1.0,0.7272727272727273
81,MINIMUM_PERIMETER_N_BLOCKS,0.0,1.0
82,PYTHON_PROGRAM_FIND_PERIMETER_CIRCUMFERENCE_SQUARE_RECTANGLE,1.0,
83,SQUARE_ROOT_OF_A_PERFECT_SQUARE,1.0,
84,MINIMUM_ROTATIONS_REQUIRED_GET_STRING,1.0,0.1
85,ANALYSIS_OF_ALGORITHMS_SET_2_ASYMPTOTIC_ANALYSIS,1.0,0.4
86,MAXIMUM_XOR_VALUE_MATRIX,1.0,
87,COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY,1.0,0.6
88,PADOVAN_SEQUENCE,0.1,1.0
89,PROGRAM_FIND_SLOPE_LINE,1.0,
90,SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,1.0,
91,UGLY_NUMBERS,1.0,
92,SUM_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING,0.5,1.0
93,CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,0.3,
94,HIGHWAY_BILLBOARD_PROBLEM,1.0,0.0
95,TRIANGULAR_NUMBERS_1,0.5,0.0
96,TRIANGULAR_NUMBERS_1,0.5,0.0
97,FIND_THE_FIRST_MISSING_NUMBER,1.0,0.3
98,FIND_THE_FIRST_MISSING_NUMBER,1.0,1.0
99,TRIANGULAR_MATCHSTICK_NUMBER,1.0,
100,ELEMENTS_TO_BE_ADDED_SO_THAT_ALL_ELEMENTS_OF_A_RANGE_ARE_PRESENT_IN_ARRAY,1.0,
101,FIND_UNIT_DIGIT_X_RAISED_POWER_Y,1.0,0.9
102,FIND_THREE_ELEMENT_FROM_DIFFERENT_THREE_ARRAYS_SUCH_THAT_THAT_A_B_C_K,1.0,0.4
103,FINDING_POWER_PRIME_NUMBER_P_N,0.2,0.8
104,ROW_WISE_COMMON_ELEMENTS_TWO_DIAGONALS_SQUARE_MATRIX,1.0,0.4
105,PROGRAM_FOR_DEADLOCK_FREE_CONDITION_IN_OPERATING_SYSTEM,1.0,
106,PROGRAM_CHECK_ARRAY_SORTED_NOT_ITERATIVE_RECURSIVE_1,1.0,0.5
107,PROGRAM_CHECK_ARRAY_SORTED_NOT_ITERATIVE_RECURSIVE_1,1.0,0.5
108,POSSIBLE_TO_MAKE_A_DIVISIBLE_BY_3_NUMBER_USING_ALL_DIGITS_IN_AN_ARRAY,1.0,0.7
109,NTH_EVEN_LENGTH_PALINDROME,1.0,1.0
110,HORNERS_METHOD_POLYNOMIAL_EVALUATION,1.0,1.0
111,SUM_OF_ALL_ELEMENTS_UP_TO_NTH_ROW_IN_A_PASCALS_TRIANGLE,1.0,1.0
112,FIND_THE_ELEMENT_THAT_APPEARS_ONCE,0.0,1.0
113,FIND_REPEATED_CHARACTER_PRESENT_FIRST_STRING,1.0,
114,NUMBER_NON_NEGATIVE_INTEGRAL_SOLUTIONS_B_C_N_1,1.0,
115,STRING_CONTAINING_FIRST_LETTER_EVERY_WORD_GIVEN_STRING_SPACES,0.0,1.0
116,SWAP_TWO_NUMBERS_WITHOUT_USING_TEMPORARY_VARIABLE,1.0,
117,MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES_1,0.7,
118,SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,1.0,1.0
119,COUNT_NEGATIVE_NUMBERS_IN_A_COLUMN_WISE_ROW_WISE_SORTED_MATRIX,1.0,1.0
120,SUM_MATRIX_ELEMENT_ELEMENT_INTEGER_DIVISION_ROW_COLUMN,0.0,1.0
121,TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS_1,1.0,1.0
122,HOW_TO_TURN_OFF_A_PARTICULAR_BIT_IN_A_NUMBER,1.0,0.0
123,POSITION_OF_RIGHTMOST_SET_BIT,1.0,
124,FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,1.0,0.9
125,FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,1.0,0.9
126,FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,1.0,1.0
127,MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,1.0,1.0
128,CHECK_ARRAY_REPRESENTS_INORDER_BINARY_SEARCH_TREE_NOT,1.0,0.4
129,CHECK_ARRAY_REPRESENTS_INORDER_BINARY_SEARCH_TREE_NOT,1.0,0.4
130,CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,1.0,
131,PROGRAM_BINARY_DECIMAL_CONVERSION,0.0,1.0
132,MAXIMUM_SUBARRAY_SUM_ARRAY_CREATED_REPEATED_CONCATENATION,0.0,
133,MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED,1.0,1.0
134,MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED,1.0,0.6
135,DETECT_IF_TWO_INTEGERS_HAVE_OPPOSITE_SIGNS,1.0,
136,CHECK_GIVEN_SENTENCE_GIVEN_SET_SIMPLE_GRAMMER_RULES,0.6,0.4
137,CHECK_GIVEN_SENTENCE_GIVEN_SET_SIMPLE_GRAMMER_RULES,0.6,0.4
138,DECIMAL_BINARY_CONVERSION_WITHOUT_USING_ARITHMETIC_OPERATORS,0.0,1.0
139,MAXIMUM_TRIPLET_SUM_ARRAY_2,0.0,1.0
140,GCD_ELEMENTS_GIVEN_RANGE,0.0,
141,HOW_CAN_WE_SUM_THE_DIGITS_OF_A_GIVEN_NUMBER_IN_SINGLE_STATEMENT,0.0,1.0
142,LONGEST_COMMON_INCREASING_SUBSEQUENCE_LCS_LIS,0.6,0.6
143,LONGEST_COMMON_INCREASING_SUBSEQUENCE_LCS_LIS,0.6,0.6
144,LONGEST_COMMON_INCREASING_SUBSEQUENCE_LCS_LIS,0.6,0.4
145,QUERIES_COUNTS_ARRAY_ELEMENTS_VALUES_GIVEN_RANGE,1.0,0.1
146,PROGRAM_TO_CHECK_IF_A_MATRIX_IS_SYMMETRIC,1.0,0.8181818181818182
147,MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,1.0,
148,COUNT_NEGATIVE_NUMBERS_IN_A_COLUMN_WISE_ROW_WISE_SORTED_MATRIX_1,1.0,0.9
149,N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,0.0,1.0
150,DYNAMIC_PROGRAMMING_SET_12_LONGEST_PALINDROMIC_SUBSEQUENCE,1.0,0.8
151,MODULAR_EXPONENTIATION_POWER_IN_MODULAR_ARITHMETIC,1.0,1.0
152,NUMBER_OF_PAIRS_IN_AN_ARRAY_HAVING_SUM_EQUAL_TO_PRODUCT,1.0,
153,CHECK_WHETHER_GIVEN_DEGREES_VERTICES_REPRESENT_GRAPH_TREE,0.7,0.4
154,SORT_AN_ARRAY_OF_0S_1S_AND_2S,0.2,0.8
155,FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH_1,1.0,0.3
156,FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH_1,1.0,0.0
157,FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH_1,1.0,0.9
158,PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,1.0,1.0
159,MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,1.0,0.9
160,NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,0.0,1.0
161,NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,0.0,1.0
162,SUM_MATRIX_ELEMENT_ELEMENT_INTEGER_DIVISION_ROW_COLUMN_1,0.0,
163,POSSIBLE_FORM_TRIANGLE_ARRAY_VALUES,0.7,1.0
164,POSSIBLE_FORM_TRIANGLE_ARRAY_VALUES,0.7,1.0
165,CHECK_STRING_CAN_OBTAINED_ROTATING_ANOTHER_STRING_2_PLACES,0.7,
166,FRIENDS_PAIRING_PROBLEM_2,1.0,0.9
167,FRIENDS_PAIRING_PROBLEM_2,1.0,1.0
168,PROGRAM_FIND_STRING_START_END_GEEKS,1.0,0.0
169,NEXT_POWER_OF_2,1.0,1.0
170,NEXT_POWER_OF_2,1.0,0.2
171,EFFICIENT_WAY_CHECK_WHETHER_N_TH_FIBONACCI_NUMBER_MULTIPLE_10,1.0,0.4
172,MAXIMUM_TRIPLET_SUM_ARRAY_1,1.0,
173,REARRANGE_POSITIVE_AND_NEGATIVE_NUMBERS_PUBLISH,1.0,0.3
174,WRITE_ONE_LINE_C_FUNCTION_TO_FIND_WHETHER_A_NO_IS_POWER_OF_TWO_1,1.0,
175,MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING,1.0,
176,NUMBER_DAYS_TANK_WILL_BECOME_EMPTY,1.0,
177,NTH_NON_FIBONACCI_NUMBER,0.0,1.0
178,FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1,1.0,
179,COUNT_NUMBER_PAIRS_N_B_N_GCD_B_B,0.0,1.0
180,NUMBER_DIGITS_PRODUCT_TWO_NUMBERS_1,1.0,0.0
181,COUNT_SET_BITS_IN_AN_INTEGER,1.0,1.0
182,C_PROGRAM_CONCATENATE_STRING_GIVEN_NUMBER_TIMES,1.0,1.0
183,COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,0.7,
184,SEARCH_INSERT_AND_DELETE_IN_AN_UNSORTED_ARRAY,1.0,0.4
185,NUMBER_SUBSEQUENCES_AB_STRING_REPEATED_K_TIMES,0.3,
186,SPLIT_ARRAY_ADD_FIRST_PART_END,1.0,0.7
187,COUNT_DERANGEMENTS_PERMUTATION_SUCH_THAT_NO_ELEMENT_APPEARS_IN_ITS_ORIGINAL_POSITION_1,1.0,
188,LEXICOGRAPHICAL_MAXIMUM_SUBSTRING_STRING,0.1,
189,PROGRAM_CHECK_INPUT_INTEGER_STRING,0.6,0.4
190,COUNT_INVERSIONS_OF_SIZE_THREE_IN_A_GIVE_ARRAY_1,1.0,0.4
191,PROGRAM_OCTAL_DECIMAL_CONVERSION,0.0,1.0
192,CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,1.0,1.0
193,FIND_WHETHER_GIVEN_INTEGER_POWER_3_NOT,1.0,
194,CASSINIS_IDENTITY,0.0,
195,COMPUTE_MODULUS_DIVISION_BY_A_POWER_OF_2_NUMBER,1.0,
196,AREA_OF_A_HEXAGON,1.0,
197,SUM_FIBONACCI_NUMBERS,0.0,1.0
198,SUM_FIBONACCI_NUMBERS,0.0,1.0
199,EFFICIENT_WAY_TO_MULTIPLY_WITH_7,1.0,
200,WAYS_REMOVE_ONE_ELEMENT_BINARY_STRING_XOR_BECOMES_ZERO,0.3,1.0
201,WAYS_REMOVE_ONE_ELEMENT_BINARY_STRING_XOR_BECOMES_ZERO,0.3,1.0
202,TILING_WITH_DOMINOES,0.0,1.0
203,SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD,1.0,0.9
204,SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD,1.0,0.0
205,SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD,1.0,1.0
206,SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD,1.0,0.0
207,SUM_PAIRWISE_PRODUCTS_1,0.0,1.0
208,GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,1.0,0.1
209,GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,1.0,0.1
210,CHECK_WHETHER_ARITHMETIC_PROGRESSION_CAN_FORMED_GIVEN_ARRAY,1.0,0.6
211,CHECK_WHETHER_ARITHMETIC_PROGRESSION_CAN_FORMED_GIVEN_ARRAY,1.0,0.6
212,CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,1.0,1.0
213,LEXICOGRAPHICALLY_NEXT_STRING,0.5,1.0
214,LEXICOGRAPHICALLY_NEXT_STRING,0.5,1.0
215,LEXICOGRAPHICALLY_NEXT_STRING,0.5,0.5
216,CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,1.0,
217,MINIMIZE_THE_SUM_OF_DIGITS_OF_A_AND_B_SUCH_THAT_A_B_N,0.0,1.0
218,MINIMIZE_THE_SUM_OF_DIGITS_OF_A_AND_B_SUCH_THAT_A_B_N,0.0,1.0
219,NUMBER_INDEXES_EQUAL_ELEMENTS_GIVEN_RANGE,1.0,0.1
220,COUNT_POSSIBLE_DECODINGS_GIVEN_DIGIT_SEQUENCE_1,0.8,1.0
221,FIND_MIRROR_IMAGE_POINT_2_D_PLANE,1.0,
222,FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,1.0,0.1
223,ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,0.0,1.0
224,K_NUMBERS_DIFFERENCE_MAXIMUM_MINIMUM_K_NUMBER_MINIMIZED,0.2,
